"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2054","get started link","chromium","Thu Mar 27 15:55:52 GMT-05:00 2025","passed","Thu Mar 27 15:55:54 GMT-05:00 2025","","example.spec.js","",""
"","1735","has title","chromium","Thu Mar 27 15:55:52 GMT-05:00 2025","passed","Thu Mar 27 15:55:54 GMT-05:00 2025","","example.spec.js","",""
